PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI PKBR;MATERI LAINNYA;JUMLAH PERTEMUAN;JUMLAH REMAJA HADIR DALAM PERTEMUAN;JUMLAH PERTEMUAN MATERI PKBR OLEH PIK REMAJA;BULAN
SULAWESI BARAT;MAMASA;TABANG;2008;SALUKONA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;1001;SUMARORONG;1;1;100.00;1;0;1;30;1;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;1002;TABONE;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2003;BATANG URU;1;1;100.00;1;0;1;12;1;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2004;SASAKAN;1;1;100.00;1;0;1;36;1;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2005;TADISI;1;1;100.00;1;0;1;11;1;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2006;SIBANAWA;1;1;100.00;1;0;1;10;1;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2007;BATANGNGURU TIMUR;1;1;100.00;1;0;1;30;1;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2008;SALUBALO;1;1;100.00;1;0;1;11;1;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2009;BANEA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2010;RANTE KAMASE;1;1;100.00;1;0;1;38;1;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2002;OROBUA;2;2;100.00;2;0;2;33;2;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2003;PALADAN;1;1;100.00;1;0;1;11;1;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2004;OROBUA TIMUR;1;1;100.00;1;0;1;2;1;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2006;RANTE PUANG;1;1;100.00;1;0;1;15;1;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2007;SATENETEAN;1;1;100.00;1;0;1;2;1;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2008;LISUAN ADA;1;1;100.00;1;0;1;15;1;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2010;OROBUA SELATAN;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2012;MALANGKENA PADANG;1;1;100.00;1;0;1;14;1;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2013;MALIMBONG;1;1;100.00;1;0;1;1;1;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2014;MARAMPAN OROBUA;1;1;100.00;1;0;1;6;1;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2001;SARJO;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2002;MAPONU;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2003;LETAWA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2004;SARUDE;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2001;SARUDU;1;1;100.00;1;0;1;17;1;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2003;BULU MARIO;1;1;100.00;1;0;1;39;1;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2005;KUMASARI;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2011;PATIKA;1;1;100.00;1;0;1;16;1;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2012;DODA;1;1;100.00;1;0;1;15;1;JANUARI
SULAWESI BARAT;MAMASA;NOSU;1001;NOSU;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2002;MINANGA;1;1;100.00;1;0;1;6;1;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2003;BATUPAPAN;1;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2004;MASEWWE;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2005;SIWI;1;1;100.00;1;0;1;0;1;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2006;MINANGA TIMUR;1;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2007;PARINDING;1;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;1001;PANA;1;1;100.00;1;0;1;18;1;JANUARI
SULAWESI BARAT;MAMASA;PANA;2003;MANIPI;1;1;100.00;1;0;1;17;1;JANUARI
SULAWESI BARAT;MAMASA;PANA;2005;MAMULLU;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2006;SAPAN;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2009;DATUBARINGAN;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2010;PANURA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2011;TALLANG BULAWAN;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2012;KARAKA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2013;ULUSALU;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2014;WERI;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2015;SALUTAMBUN;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2016;SALOAN;1;1;100.00;1;0;1;18;1;JANUARI
SULAWESI BARAT;MAMASA;PANA;2017;ULUSALU INDAH;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2001;MEHALAAN;1;1;100.00;1;0;1;21;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2002;BOTTENG;1;1;100.00;1;0;1;20;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2003;SALUKONTA;1;1;100.00;1;0;1;20;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2004;MESAKADA;1;1;100.00;1;0;1;20;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2005;MEHALAAN BARAT;1;1;100.00;1;0;1;20;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2006;SALUAHOK;1;1;100.00;1;0;1;20;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2007;SALUBALO;1;1;100.00;1;0;1;20;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2008;PASSEMBUK;1;1;100.00;1;0;1;15;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2009;KONDO;1;1;100.00;1;0;1;16;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2010;LEKO SUKAMAJU;1;1;100.00;1;0;1;15;1;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2011;ULUMEA;1;1;100.00;1;0;1;20;1;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;1001;MAMASA;2;2;100.00;0;2;2;35;0;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2002;RAMBUSARATU;1;1;100.00;1;0;1;15;1;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2003;OSANGO;1;1;100.00;0;1;1;15;0;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2004;LAMBANAN;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2005;LEMBANA SALULO;1;1;100.00;1;0;1;16;1;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2006;TAUPE;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2007;BUNTU BUDA;1;1;100.00;1;0;1;34;1;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2008;TONDOK BAKARU;1;1;100.00;1;0;1;25;1;JANUARI
