PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI PBKR;MATERI KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH KELUARGA ANGGOTA BKR;JUMLAH KELUARGA ANGGOTA BKR HADIR PERTEMUAN;STATUS PUS;STATUS BER-KB;JUMLAH KELUARGA ANGGOTA BKR HADIR PERTEMUAN MATERI PKBR;BULAN
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2004;BUANGIN;2;2;100.00;2;0;0;2;2;0;165;30;21;18;30;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2005;BAMBANG BUDA;1;1;100.00;1;0;0;1;1;0;31;15;7;6;15;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2006;LEKO;1;1;100.00;1;0;0;1;1;0;20;20;13;11;20;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2007;KIRAK;1;1;100.00;0;0;0;1;1;0;15;14;6;4;0;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2008;SALUMOKANAN UTARA;1;1;100.00;1;0;0;1;1;0;50;16;10;9;16;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2009;SAMPALE;1;1;100.00;1;0;0;1;1;0;15;10;8;8;10;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2001;MALEI;1;1;100.00;1;0;0;1;1;0;179;85;67;55;85;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2002;PEDANDA;1;1;100.00;1;0;0;1;1;0;179;65;53;43;65;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2003;BATU OGE;1;1;100.00;1;0;0;1;1;0;152;52;38;29;52;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2004;MARTASARI;1;1;100.00;1;0;0;1;1;0;268;81;67;57;81;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1001;PASANGKAYU;2;2;100.00;2;0;0;2;2;0;1080;135;90;43;135;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1002;MARTAJAYA;1;1;100.00;1;1;0;1;1;0;90;86;63;51;86;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2010;PAKAVA;1;1;100.00;1;0;0;1;1;0;52;35;24;20;35;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2014;KARYA BERSAMA;1;1;100.00;1;1;0;1;1;0;180;93;78;56;93;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2015;AKO;1;1;100.00;1;0;0;1;1;0;300;156;114;88;156;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2016;GUNUNG SARI;1;1;100.00;1;0;0;1;1;0;303;152;125;92;152;JANUARI
SULAWESI BARAT;MAMASA;TABANG;1001;TABANG;1;1;100.00;1;0;0;1;1;0;50;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2003;TADOKALUA;1;1;100.00;1;1;0;1;1;0;44;22;14;13;22;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2004;TABANG BARAT;1;1;100.00;2;1;0;2;2;0;73;18;7;5;18;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2005;MASUPU;1;1;100.00;1;0;0;1;1;0;31;30;22;21;30;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2006;KALAMA;1;1;100.00;1;1;0;1;1;0;12;9;8;7;9;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2007;BAKADISURA;1;1;100.00;1;0;0;1;1;0;53;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2008;SALUKONA;1;1;100.00;1;0;0;1;1;0;30;30;21;19;30;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;1001;SUMARORONG;1;1;100.00;1;0;0;1;1;0;30;30;26;23;30;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;1002;TABONE;1;1;100.00;1;0;0;1;1;0;55;49;33;27;49;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2003;BATANG URU;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2004;SASAKAN;1;1;100.00;1;0;0;1;1;0;25;20;19;19;20;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2005;TADISI;1;1;100.00;1;0;0;1;1;0;24;9;6;6;9;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2006;SIBANAWA;1;1;100.00;1;0;0;1;1;0;27;10;8;7;10;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2007;BATANGNGURU TIMUR;1;1;100.00;1;0;0;1;1;0;30;30;24;24;30;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2008;SALUBALO;1;1;100.00;1;0;0;1;1;0;21;13;5;4;13;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2009;BANEA;1;1;100.00;1;0;0;1;1;0;32;32;18;17;32;JANUARI
SULAWESI BARAT;MAMASA;SUMARORONG;2010;RANTE KAMASE;1;1;100.00;1;0;0;1;1;0;43;33;25;24;33;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2002;OROBUA;1;1;100.00;2;1;0;2;2;0;168;39;29;27;39;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2003;PALADAN;1;1;100.00;1;0;0;1;1;0;52;30;19;16;30;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2004;OROBUA TIMUR;1;1;100.00;1;0;0;1;1;0;41;18;9;7;18;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2006;RANTE PUANG;1;1;100.00;0;1;0;1;1;0;107;19;13;10;0;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2007;SATENETEAN;1;1;100.00;1;0;0;1;1;0;51;14;9;9;14;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2008;LISUAN ADA;1;1;100.00;1;0;0;1;1;0;75;20;13;12;20;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2010;OROBUA SELATAN;1;1;100.00;1;0;0;1;1;0;11;11;4;3;11;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2012;MALANGKENA PADANG;1;1;100.00;0;1;0;1;1;0;53;18;16;15;0;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2013;MALIMBONG;1;1;100.00;1;0;0;1;1;0;27;13;6;6;13;JANUARI
SULAWESI BARAT;MAMASA;SESENAPADANG;2014;MARAMPAN OROBUA;1;1;100.00;1;0;0;1;1;0;20;8;2;2;8;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2001;SARJO;1;1;100.00;0;1;0;1;1;0;63;30;24;20;0;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2002;MAPONU;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2003;LETAWA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2004;SARUDE;1;1;100.00;1;0;0;1;1;0;229;28;16;14;28;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2001;SARUDU;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2003;BULU MARIO;1;1;100.00;1;1;0;1;1;0;251;119;81;64;119;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2005;KUMASARI;1;1;100.00;1;1;0;1;0;0;106;42;20;12;42;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2011;PATIKA;1;1;100.00;1;1;0;1;1;0;52;35;24;15;35;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2012;DODA;1;1;100.00;1;1;0;1;1;0;232;55;32;27;55;JANUARI
SULAWESI BARAT;MAMASA;NOSU;1001;NOSU;1;1;100.00;1;0;0;1;1;0;50;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2002;MINANGA;1;1;100.00;1;0;0;1;1;0;50;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2003;BATUPAPAN;1;1;100.00;2;2;0;2;2;0;26;23;9;6;23;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2004;MASEWWE;1;1;100.00;1;0;0;1;1;0;56;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2005;SIWI;1;1;100.00;1;1;0;1;1;0;74;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2006;MINANGA TIMUR;1;1;100.00;2;2;0;2;2;0;25;22;12;3;22;JANUARI
SULAWESI BARAT;MAMASA;NOSU;2007;PARINDING;1;1;100.00;2;2;0;2;2;0;25;23;14;9;23;JANUARI
SULAWESI BARAT;MAMASA;PANA;1001;PANA;1;1;100.00;1;1;0;1;1;0;34;34;17;17;34;JANUARI
SULAWESI BARAT;MAMASA;PANA;2003;MANIPI;2;2;100.00;3;3;0;3;3;0;127;82;57;50;82;JANUARI
SULAWESI BARAT;MAMASA;PANA;2005;MAMULLU;2;2;100.00;2;2;0;2;2;0;74;69;41;36;69;JANUARI
SULAWESI BARAT;MAMASA;PANA;2006;SAPAN;1;1;100.00;1;1;0;1;1;0;61;23;9;9;23;JANUARI
SULAWESI BARAT;MAMASA;PANA;2009;DATUBARINGAN;2;2;100.00;2;2;0;2;2;0;109;44;30;21;44;JANUARI
SULAWESI BARAT;MAMASA;PANA;2010;PANURA;1;1;100.00;1;1;0;1;1;0;70;46;27;22;46;JANUARI
SULAWESI BARAT;MAMASA;PANA;2011;TALLANG BULAWAN;2;2;100.00;2;2;0;2;2;0;67;67;42;40;67;JANUARI
SULAWESI BARAT;MAMASA;PANA;2012;KARAKA;1;1;100.00;1;1;0;1;1;0;52;35;23;19;35;JANUARI
SULAWESI BARAT;MAMASA;PANA;2013;ULUSALU;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2014;WERI;1;1;100.00;1;1;0;1;1;0;43;43;30;29;43;JANUARI
SULAWESI BARAT;MAMASA;PANA;2015;SALUTAMBUN;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;PANA;2016;SALOAN;2;2;100.00;2;2;0;2;2;0;82;62;37;32;62;JANUARI
SULAWESI BARAT;MAMASA;PANA;2017;ULUSALU INDAH;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2001;MEHALAAN;1;1;100.00;1;1;0;1;1;0;40;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2002;BOTTENG;1;1;100.00;1;0;0;1;1;0;53;20;12;11;20;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2003;SALUKONTA;1;1;100.00;1;0;0;1;1;0;62;15;9;9;15;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2004;MESAKADA;1;1;100.00;1;1;0;1;1;0;36;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2005;MEHALAAN BARAT;1;1;100.00;1;0;0;1;1;0;52;24;18;18;24;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2006;SALUAHOK;1;1;100.00;1;0;0;1;1;0;59;20;13;13;20;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2007;SALUBALO;1;1;100.00;1;0;0;1;1;0;43;23;13;13;23;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2008;PASSEMBUK;1;1;100.00;1;0;0;1;1;0;27;26;23;23;26;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2009;KONDO;1;1;100.00;1;0;0;1;1;0;34;30;23;20;30;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2010;LEKO SUKAMAJU;1;1;100.00;1;0;0;1;1;0;33;33;20;19;33;JANUARI
SULAWESI BARAT;MAMASA;MEHALAAN;2011;ULUMEA;1;1;100.00;1;0;0;1;1;0;27;11;10;9;11;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;1001;MAMASA;1;1;100.00;1;1;0;1;1;0;260;233;134;96;233;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2002;RAMBUSARATU;1;1;100.00;1;0;0;1;1;0;20;17;12;12;17;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2003;OSANGO;1;1;100.00;1;1;0;1;1;0;257;215;146;123;215;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2004;LAMBANAN;1;1;100.00;1;1;0;1;1;0;40;36;22;21;36;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2005;LEMBANA SALULO;1;1;100.00;0;1;0;1;1;0;20;18;11;9;0;JANUARI
SULAWESI BARAT;MAMASA;MAMASA;2006;TAUPE;1;1;100.00;1;1;0;2;1;0;137;20;14;14;20;JANUARI
