PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI DIMENSI LANSIA TANGGUH;MATERI PEDOMAN PJP;MATERI PRA LANSIA;MATERI KELANJUT-USIAAN LAINNYA;MATERI KB DAN KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH ANGGOTA BKL;JUMLAH ANGGOTA KELUARGA HADIR;JUMLAH ANGGOTA LANSIA HADIR;STATUS PUS;STATUS BER-KB;BULAN
SULAWESI BARAT;MAMUJU;KALUKKU;2013;PAMMULUKANG;1;1;100.00;1;0;0;0;1;0;1;1;0;52;30;23;4;2;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2001;SARUDU;1;1;100.00;1;0;0;0;1;0;1;1;0;10;8;0;5;4;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2003;BULU MARIO;1;1;100.00;1;0;0;0;1;0;1;1;0;96;19;16;7;4;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2005;KUMASARI;1;1;100.00;1;0;1;1;1;1;1;1;0;59;40;0;13;6;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2011;PATIKA;1;1;100.00;1;0;1;0;1;0;1;1;0;29;13;12;1;0;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;2012;DODA;1;1;100.00;1;1;1;0;1;0;1;1;1;44;37;37;3;2;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2001;TIKKE;2;2;100.00;2;0;0;0;2;0;2;2;0;48;44;23;6;4;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2002;MAKMUR JAYA;1;1;100.00;1;0;0;0;1;0;1;1;0;43;30;19;6;4;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2003;LARIANG;1;1;100.00;1;0;0;1;0;1;1;0;0;78;55;58;15;8;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2004;PAJALELE;1;1;100.00;1;0;0;0;1;0;1;1;0;62;11;14;4;2;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2005;JENGENG RAYA;1;1;100.00;1;0;0;0;0;0;1;1;0;52;32;40;12;7;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2001;SARJO;1;1;100.00;1;0;0;0;1;0;1;1;0;62;56;38;6;4;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2002;MAPONU;1;1;100.00;1;0;1;0;0;0;1;1;0;15;8;10;2;2;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2003;LETAWA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;2004;SARUDE;1;1;100.00;1;0;0;0;1;0;1;1;0;70;59;56;3;2;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2001;MALEI;1;1;100.00;1;0;0;0;1;0;1;1;0;80;22;26;5;4;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2002;PEDANDA;1;1;100.00;1;0;0;0;1;0;1;1;0;59;26;33;1;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2003;BATU OGE;1;1;100.00;1;0;0;0;1;0;1;1;0;29;1;1;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2004;MARTASARI;1;1;100.00;1;0;0;0;1;0;1;1;0;63;13;14;3;3;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;1001;MALUNDA;1;1;100.00;1;0;0;0;1;0;1;1;0;89;39;7;5;3;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;1015;LAMUNGANG BATU;1;1;100.00;1;0;0;0;1;0;1;1;0;40;37;11;3;1;JANUARI
SULAWESI BARAT;MAJENE;MALUNDA;2002;BAMBANGAN;1;1;100.00;0;0;1;0;1;0;1;1;0;47;28;0;21;7;JANUARI
