PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH SASARAN;JUMLAH DITIMBANG;BULAN
SULAWESI BARAT;MAMASA;MEHALAAN;MESAKADA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;MEHALAAN BARAT;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;SALUAHOK;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;SALUBALO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;PASSEMBUK;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;KONDO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;LEKO SUKAMAJU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;ULUMEA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;MESSAWA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;RIPPUNG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;MAKUANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;SEPANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;MALIMBONG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;MATANDE;;;SEPTEMBER
