;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH BUMIL;BUMIL TERDAMPINGI;BUMIL TIDAK TERDAMPINGI;JUMLAH BUMIL >=32 MINGGU;BUMIL >=32 MINGGU MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU TIDAK MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU AKAN KBPP;BUMIL >=32 MINGGU MEMUTUSKAN TIDAK KBPP;MENDAPATKAN TTD;TIDAK MENDAPATKAN TTD;MENGKOMSUMSI TTD;TIDAK MENGKOMSUMSI TTD;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK MENDAPAT KIE;MENDAPAT FASILITASI RUJUKAN;TIDAK MENDAPAT FASILITASI RUJUKAN;MENDAPAT FASILITASI BANSOS;TIDAK MENDAPAT FASILITASI BANSOS
118;SULAWESI BARAT;MAMUJU;PAPALANG;TOABO;32;51;-19;28;17;0;17;0;51;0;51;0;50;0;1;0;19;32;19;32
119;SULAWESI BARAT;MAMUJU;PAPALANG;PAPALANG;49;20;29;2;0;0;0;0;17;3;16;4;19;0;0;1;19;1;12;8
120;SULAWESI BARAT;MAMUJU;PAPALANG;BONDA;15;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;SULAWESI BARAT;MAMUJU;PAPALANG;TOPORE;22;1;21;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
122;SULAWESI BARAT;MAMUJU;PAPALANG;SALUKAYU;21;21;0;11;8;2;7;3;21;0;21;0;21;0;0;0;2;19;1;20
123;SULAWESI BARAT;MAMUJU;PAPALANG;SUKADAMAI;4;9;-5;6;6;0;6;0;9;0;9;0;4;0;5;0;9;0;9;0
124;SULAWESI BARAT;MAMUJU;PAPALANG;BODA-BODA;18;5;13;1;1;0;1;0;5;0;5;0;5;0;0;0;0;5;5;0
125;SULAWESI BARAT;MAMUJU;PAPALANG;SISANGO;2;4;-2;3;2;0;2;0;4;0;4;0;4;0;0;0;2;2;2;2
126;SULAWESI BARAT;MAMUJU;PAPALANG;BATU AMPA;21;13;8;1;1;0;1;0;13;0;13;0;1;12;0;0;10;3;2;11
127;SULAWESI BARAT;MAMUJU;SIMBORO;SIMBORO;100;17;83;12;6;0;6;0;16;1;16;1;17;0;0;0;6;11;1;16
128;SULAWESI BARAT;MAMUJU;SIMBORO;RANGAS;28;17;11;7;5;0;5;0;15;2;15;2;16;0;1;0;6;11;3;14
129;SULAWESI BARAT;MAMUJU;SIMBORO;BOTTENG;15;2;13;1;1;0;1;0;2;0;2;0;2;0;0;0;0;2;1;1
