PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELURAHAN/DESA;JUMLAH KAMPUNG KB;2016;2017;2018;2019;> 2019;KAMPUNG KB MANDIRI;KAMPUNG KB PERCONTOHAN
SULAWESI BARAT;MAMUJU;BONEHAU;2002;SALUTIWO;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAMUJU;BONEHAU;2003;BUTTUADA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;BONEHAU;2004;TAMALEA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;BONEHAU;2005;LUMIKA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;BONEHAU;2006;MAPPU;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;MAMUJU;BONEHAU;2009;BANUADA;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;BONEHAU;2010;HINUA;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;BONEHAU;2011;KINATANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2001;KALUMPANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2003;KARATAUN;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2004;KARAMA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2006;SIRAUN;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2007;TUMOGA;1;2;0;0;0;0;2;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2010;SALUMAKKI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2011;POLIO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2012;LIMBONG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2013;SANDAPANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2014;KONDO BULO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2015;MAKKALIKI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2016;BATU MAKKADA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUMPANG;2017;LASA';1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;2001;BALA BALAKANG;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;2002;BALA-BALAKANG TIMUR;1;0;0;0;0;0;0;0;0
SULAWESI BARAT;MAMUJU;SAMPAGA;2001;BUNDE;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;SAMPAGA;2002;KALONDING;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SAMPAGA;2003;TARAILU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SAMPAGA;2004;SAMPAGA;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAMUJU;SAMPAGA;2005;TANAMBUAH;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SAMPAGA;2006;SALUBARANA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SAMPAGA;2007;LOSSO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;PAPALANG;2001;TOABO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;PAPALANG;2002;PAPALANG;1;1;0;0;1;0;0;0;1
SULAWESI BARAT;MAMUJU;PAPALANG;2003;BONDA;1;1;0;1;0;0;0;0;1
SULAWESI BARAT;MAMUJU;PAPALANG;2004;TOPORE;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;PAPALANG;2005;SALUKAYU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;PAPALANG;2006;SUKADAMAI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;PAPALANG;2007;BODA-BODA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;PAPALANG;2008;SISANGO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;PAPALANG;2009;BATU AMPA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SIMBORO;1001;SIMBORO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SIMBORO;1002;RANGAS;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SIMBORO;2003;BOTTENG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SIMBORO;2004;SALETTO;1;1;0;1;0;0;0;0;1
SULAWESI BARAT;MAMUJU;SIMBORO;2005;SUMARE;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SIMBORO;2007;BOTTENG UTARA;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;SIMBORO;2008;TAPANDULLU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;SIMBORO;2009;PATI'DI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2001;DUNGKAIT;1;1;1;0;0;0;0;0;0
SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2002;LEBANI;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2003;LABUANG RANO;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2004;PASABU;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2005;TANETE PAO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2006;PANGASAAN;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;TAPALANG BARAT;2007;AHU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2001;TOMMO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2002;CAMPALOGA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2003;BUANA SAKTI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2004;TAMEMONGGA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2005;TAMEJARRA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2006;RANTEMARIO;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2007;MALINO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2008;KAKULLASANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2009;LELING;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2010;KALEPU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2011;SANDANA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2012;LELING BARAT;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2013;LELING UTARA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TOMMO;2014;SALUDENGEN;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE;1001;BANGGAE;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE;1003;BARU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE;1007;PANGALI ALI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE;1009;TOTOLI;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAJENE;BANGGAE;1010;RANGAS;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAJENE;BANGGAE;1013;GALUNG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;BANGGAE;2011;PALIPI SOREANG;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAJENE;BANGGAE;2012;PAMBOBORANG;1;1;1;0;0;0;0;0;0
SULAWESI BARAT;MAJENE;MALUNDA;1001;MALUNDA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;MALUNDA;1015;LAMUNGANG BATU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;MALUNDA;2002;BAMBANGAN;1;1;0;0;0;1;0;0;0
