;PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELUARGA;JUMLAH KELUARGA SASARAN;KESEJAHTERAAN 1;KESEJAHTERAAN 2;KESEJAHTERAAN 3;KESEJAHTERAAN 4;KESEJAHTERAAN > 4;JUMLAH KRS;JUMLAH TIDAK BERESIKO;PUNYA BADUTA;PUNYA BALITA;PUS;PUS HAMIL;SUMBER AIR MINUM TIDAK LAYAK;JAMBAN TIDAK LAYAK;TERLALU MUDA;TERLALU TUA;TERLALU DEKAT;TERLALU BANYAK;PUS 4T;BUKAN PESERTA KB MODERN;PERIODE
80;SULAWESI BARAT;MAMUJU;TAPALANG;2013;KOPEANG;159;102;11;11;11;6;15;54;48;4;22;101;0;0;42;4;20;0;47;61;27;Sem 2 2024
81;SULAWESI BARAT;MAMUJU;KALUKKU;1001;SINYONYOI;1307;878;65;58;71;53;147;394;484;78;185;876;9;93;295;3;195;12;369;466;330;Sem 2 2024
82;SULAWESI BARAT;MAMUJU;KALUKKU;1002;BEBANGA;2170;1459;88;92;72;50;383;685;774;186;408;1451;21;222;306;32;317;35;600;767;671;Sem 2 2024
83;SULAWESI BARAT;MAMUJU;KALUKKU;1003;KALUKKU;1677;1133;8;16;16;26;219;285;848;133;273;1130;55;21;97;30;286;14;394;579;412;Sem 2 2024
84;SULAWESI BARAT;MAMUJU;KALUKKU;1014;SINYONYOI SELATAN;983;654;18;34;25;32;63;172;482;24;125;651;1;38;68;5;167;3;254;341;226;Sem 2 2024
85;SULAWESI BARAT;MAMUJU;KALUKKU;2004;SONDOANG;575;426;32;23;20;24;40;139;287;26;100;420;0;16;112;6;105;4;178;225;98;Sem 2 2024
86;SULAWESI BARAT;MAMUJU;KALUKKU;2005;BERU-BERU;1488;1005;7;6;24;19;165;221;784;112;252;999;19;26;55;16;217;14;329;464;411;Sem 2 2024
87;SULAWESI BARAT;MAMUJU;KALUKKU;2006;BELANG BELANG;942;709;29;29;30;24;158;270;439;103;184;707;35;9;164;17;167;7;280;371;301;Sem 2 2024
88;SULAWESI BARAT;MAMUJU;KALUKKU;2007;KABULOANG;934;626;14;20;33;23;39;129;497;79;164;625;19;5;62;8;164;11;256;336;172;Sem 2 2024
89;SULAWESI BARAT;MAMUJU;KALUKKU;2008;KEANG;736;462;18;20;17;28;81;164;298;0;73;455;0;34;98;11;107;1;148;214;142;Sem 2 2024
90;SULAWESI BARAT;MAMUJU;KALUKKU;2009;POKKANG;613;404;27;18;20;6;102;173;231;39;103;402;7;13;72;1;91;3;162;205;212;Sem 2 2024
91;SULAWESI BARAT;MAMUJU;KALUKKU;2010;GULILING;367;254;2;5;3;1;3;14;240;32;64;253;1;3;1;3;57;6;109;133;43;Sem 2 2024
92;SULAWESI BARAT;MAMUJU;KALUKKU;2011;UHAIMATE;239;180;38;26;7;5;4;80;100;9;47;179;0;49;53;3;34;4;66;87;34;Sem 2 2024
93;SULAWESI BARAT;MAMUJU;KALUKKU;2012;KALUKKU BARAT;1108;744;32;29;27;20;39;147;597;48;131;741;19;42;78;7;188;3;214;344;178;Sem 2 2024
94;SULAWESI BARAT;MAMUJU;KALUKKU;2013;PAMMULUKANG;483;349;23;22;25;15;48;133;216;37;86;347;12;43;75;7;63;1;140;173;110;Sem 2 2024
95;SULAWESI BARAT;MAMUJU;BONEHAU;2001;BONEHAU;459;332;5;7;15;6;79;112;220;36;90;331;2;24;66;4;94;4;48;136;109;Sem 2 2024
96;SULAWESI BARAT;MAMUJU;BONEHAU;2002;SALUTIWO;198;133;18;13;9;5;13;58;75;16;38;132;0;22;48;2;38;1;46;71;25;Sem 2 2024
97;SULAWESI BARAT;MAMUJU;BONEHAU;2003;BUTTUADA;311;235;26;31;41;22;18;138;97;7;44;232;0;121;61;3;59;0;71;113;32;Sem 2 2024
98;SULAWESI BARAT;MAMUJU;BONEHAU;2004;TAMALEA;105;72;14;5;2;2;7;30;42;5;25;71;0;25;17;1;9;2;32;35;13;Sem 2 2024
99;SULAWESI BARAT;MAMUJU;BONEHAU;2005;LUMIKA;212;163;6;11;6;11;14;48;115;3;33;162;0;24;21;4;33;2;47;73;23;Sem 2 2024
100;SULAWESI BARAT;MAMUJU;BONEHAU;2006;MAPPU;155;97;17;9;19;6;6;57;40;7;20;95;0;36;44;0;17;2;34;47;13;Sem 2 2024
101;SULAWESI BARAT;MAMUJU;BONEHAU;2009;BANUADA;186;139;4;0;1;0;4;9;130;11;25;139;0;2;0;1;31;1;46;67;21;Sem 2 2024
102;SULAWESI BARAT;MAMUJU;BONEHAU;2010;HINUA;216;138;4;5;12;6;16;43;95;9;24;136;3;17;23;3;30;1;28;54;28;Sem 2 2024
103;SULAWESI BARAT;MAMUJU;BONEHAU;2011;KINATANG;201;129;12;20;12;14;12;70;59;7;28;129;2;42;43;2;27;0;34;53;9;Sem 2 2024
104;SULAWESI BARAT;MAMUJU;KALUMPANG;2001;KALUMPANG;138;70;0;0;1;1;6;8;62;6;32;70;0;0;2;0;17;1;25;36;21;Sem 2 2024
105;SULAWESI BARAT;MAMUJU;KALUMPANG;2003;KARATAUN;375;236;24;24;31;19;97;195;41;7;34;233;0;191;4;5;51;1;66;107;58;Sem 2 2024
106;SULAWESI BARAT;MAMUJU;KALUMPANG;2004;KARAMA;250;176;40;26;17;9;20;112;64;11;31;174;0;45;78;4;35;1;65;91;33;Sem 2 2024
107;SULAWESI BARAT;MAMUJU;KALUMPANG;2006;SIRAUN;150;130;29;12;12;3;1;57;73;4;8;129;0;57;48;4;33;0;28;53;21;Sem 2 2024
108;SULAWESI BARAT;MAMUJU;KALUMPANG;2007;TUMOGA;231;124;24;24;14;7;11;80;44;11;26;124;0;40;66;0;45;0;54;74;35;Sem 2 2024
109;SULAWESI BARAT;MAMUJU;KALUMPANG;2010;SALUMAKKI;200;121;7;1;2;5;101;116;5;1;29;121;0;116;5;3;25;0;36;52;23;Sem 2 2024
110;SULAWESI BARAT;MAMUJU;KALUMPANG;2011;POLIO;164;112;43;33;17;4;9;106;6;10;15;111;1;30;91;1;22;0;36;52;36;Sem 2 2024
111;SULAWESI BARAT;MAMUJU;KALUMPANG;2012;LIMBONG;214;130;20;22;8;10;5;65;65;1;17;130;0;8;48;2;42;0;56;73;33;Sem 2 2024
112;SULAWESI BARAT;MAMUJU;KALUMPANG;2013;SANDAPANG;173;119;40;15;13;10;10;88;31;3;14;118;0;5;83;1;33;0;47;64;21;Sem 2 2024
113;SULAWESI BARAT;MAMUJU;KALUMPANG;2014;KONDO BULO;249;144;29;25;16;8;40;118;26;4;45;141;0;115;10;1;37;0;46;71;52;Sem 2 2024
114;SULAWESI BARAT;MAMUJU;KALUMPANG;2015;MAKKALIKI;124;91;53;12;14;1;4;84;7;1;22;91;0;72;72;2;24;0;41;53;18;Sem 2 2024
115;SULAWESI BARAT;MAMUJU;KALUMPANG;2016;BATU MAKKADA;201;135;105;17;4;1;5;132;3;2;13;132;0;54;131;0;29;0;54;68;43;Sem 2 2024
116;SULAWESI BARAT;MAMUJU;KALUMPANG;2017;LASA';232;189;11;18;11;8;28;76;113;2;24;189;1;43;33;0;51;0;38;71;63;Sem 2 2024
117;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;2001;BALA BALAKANG;350;224;18;10;24;17;127;196;28;16;46;221;0;188;33;4;68;2;97;136;81;Sem 2 2024
118;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;2002;BALA-BALAKANG TIMUR;192;146;1;4;1;9;109;124;22;12;28;146;0;124;54;2;25;0;57;71;36;Sem 2 2024
119;SULAWESI BARAT;MAMUJU;SAMPAGA;2001;BUNDE;1150;802;3;2;10;10;39;64;738;70;168;799;1;4;7;12;195;5;163;317;178;Sem 2 2024
